JulianDay	HourMin
300	0
300	1
300	2
300	3
300	4
300	5
300	6
300	7
300	8
300	9
300	10
300	11
300	12
300	13
300	14
300	15
300	16
300	17
300	18
300	19
300	20
300	21
300	22
300	23
300	24
300	25
300	26
300	27
300	28
300	29
300	30
300	31
300	32
300	33
300	34
300	35
300	36
300	37
300	38
300	39
300	40
300	41
300	42
300	43
300	44
300	45
300	46
300	47
300	48
300	49
300	50
300	51
300	52
300	53
300	54
300	55
300	56
300	57
300	58
300	59
300	100
300	101
300	102
300	103
300	104
300	105
300	106
300	107
300	108
300	109
300	110
300	111
300	112
300	113
300	114
300	115
300	116
300	117
300	118
300	119
300	120
300	121
300	122
300	123
300	124
300	125
300	126
300	127
300	128
300	129
300	130
300	131
300	132
300	133
300	134
300	135
300	136
300	137
300	138
300	139
300	140
300	141
300	142
300	143
300	144
300	145
300	146
300	147
300	148
300	149
300	150
300	151
300	152
300	153
300	154
300	155
300	156
300	157
300	158
300	159
300	200
300	201
300	202
300	203
300	204
300	205
300	206
300	207
300	208
300	209
300	210
300	211
300	212
300	213
300	214
300	215
300	216
300	217
300	218
300	219
300	220
300	221
300	222
300	223
300	224
300	225
300	226
300	227
300	228
300	229
300	230
300	231
300	232
300	233
300	234
300	235
300	236
300	237
300	238
300	239
300	240
300	241
300	242
300	243
300	244
300	245
300	246
300	247
300	248
300	249
300	250
300	251
300	252
300	253
300	254
300	255
300	256
300	257
300	258
300	259
300	300
300	301
300	302
300	303
300	304
300	305
300	306
300	307
300	308
300	309
300	310
300	311
300	312
300	313
300	314
300	315
300	316
300	317
300	318
300	319
300	320
300	321
300	322
300	323
300	324
300	325
300	326
300	327
300	328
300	329
300	330
300	331
300	332
300	333
300	334
300	335
300	336
300	337
300	338
300	339
300	340
300	341
300	342
300	343
300	344
300	345
300	346
300	347
300	348
300	349
300	350
300	351
300	352
300	353
300	354
300	355
300	356
300	357
300	358
300	359
300	400
300	401
300	402
300	403
300	404
300	405
300	406
300	407
300	408
300	409
300	410
300	411
300	412
300	413
300	414
300	415
300	416
300	417
300	418
300	419
300	420
300	421
300	422
300	423
300	424
300	425
300	426
300	427
300	428
300	429
300	430
300	431
300	432
300	433
300	434
300	435
300	436
300	437
300	438
300	439
300	440
300	441
300	442
300	443
300	444
300	445
300	446
300	447
300	448
300	449
300	450
300	451
300	452
300	453
300	454
300	455
300	456
300	457
300	458
300	459
300	500
300	501
300	502
300	503
300	504
300	505
300	506
300	507
300	508
300	509
300	510
300	511
300	512
300	513
300	514
300	515
300	516
300	517
300	518
300	519
300	520
300	521
300	522
300	523
300	524
300	525
300	526
300	527
